,lat,lon,landmask,pv_land_cover_urban_high,wind_land_cover_urban_medium_high,fed_and_state_protected,wind_slope_over_20p,config
35660,31.780624,-122.07068,0.0,0,0,0,0,def
35661,31.829979,-121.99426,0.0,0,0,0,0,def
35662,31.879272,-121.917755,0.0,0,0,0,0,def
35663,31.928513,-121.841125,0.0,0,0,0,0,def
35664,31.977695,-121.76439,0.0,0,0,0,0,def
35665,32.026825,-121.687546,0.0,0,0,0,0,def
35666,32.0759,-121.610596,0.0,0,0,0,0,def
35667,32.124928,-121.53351,0.0,0,0,0,0,def
35668,32.17391,-121.45633,0.0,0,0,0,0,def
35669,32.222824,-121.37903,0.0,0,0,0,0,def
35670,32.271683,-121.301636,0.0,0,0,0,0,def
35671,32.320496,-121.22412,0.0,0,0,0,0,def
35672,32.36925,-121.146484,0.0,0,0,0,0,def
35673,32.41795,-121.06874,0.0,0,0,0,0,def
35674,32.466602,-120.99089,0.0,0,0,0,0,def
35675,32.515186,-120.91292,0.0,0,0,0,0,def
35676,32.56372,-120.83484,0.0,0,0,0,0,def
35677,32.6122,-120.75665,0.0,0,0,0,0,def
35678,32.660625,-120.678345,0.0,0,0,0,0,def
35679,32.70899,-120.59993,0.0,0,0,0,0,def
35680,32.75731,-120.52141,0.0,0,0,0,0,def
35681,32.805553,-120.442764,0.0,0,0,0,0,def
35682,32.85375,-120.36401,0.0,0,0,0,0,def
35683,32.901897,-120.28514,0.0,0,0,0,0,def
35684,32.94998,-120.20618,0.0,0,0,0,0,def
35685,32.998005,-120.127075,0.0,0,0,0,0,def
35686,33.045975,-120.04787,0.0,0,0,0,0,def
35687,33.09389,-119.96854,0.0,0,0,0,0,def
35688,33.141735,-119.889114,0.0,0,0,0,0,def
35689,33.189533,-119.80957,0.0,0,0,0,0,def
35690,33.237278,-119.72992,0.0,0,0,0,0,def
35691,33.28495,-119.65015,0.0,0,0,0,0,def
35692,33.33257,-119.57025,0.0,0,0,0,0,def
35693,33.38013,-119.49025,0.0,0,0,0,0,def
35694,33.427635,-119.41014,0.0,0,0,0,0,def
35695,33.475086,-119.32991,0.0,0,0,0,0,def
35696,33.522465,-119.24957,0.0,0,0,0,0,def
35697,33.569794,-119.16911,0.0,0,0,0,0,def
35698,33.617043,-119.08855,0.0,0,0,0,0,def
35699,33.664257,-119.00786,0.0,0,0,0,0,def
35700,33.7114,-118.92706,0.0,0,0,0,0,def
35701,33.75848,-118.846146,0.0,0,0,0,0,def
35702,33.80551,-118.76511,0.0,0,0,0,0,def
35703,33.852463,-118.683975,0.0,0,0,0,0,def
35704,33.89937,-118.60272,0.0,0,0,0,0,def
35705,33.946217,-118.52135,0.0,0,0,0,0,def
35706,33.992992,-118.439865,1.0,0,1,0,0,def
35707,34.039707,-118.35826,1.0,1,1,0,0,def
35708,34.086365,-118.27655,1.0,0,0,0,1,def
35709,34.13295,-118.19472,1.0,0,1,0,0,def
35710,34.179478,-118.11276,1.0,0,0,0,0,def
35711,34.225952,-118.0307,1.0,0,0,1,1,def
35712,34.272354,-117.94853,1.0,0,0,1,1,def
35713,34.318703,-117.86624,1.0,0,0,1,0,def
35714,34.36498,-117.783844,1.0,0,0,1,1,def
35715,34.411198,-117.701324,1.0,0,0,1,1,def
35716,34.45735,-117.61868,1.0,0,1,0,0,def
35717,34.503445,-117.53592,1.0,0,0,0,0,def
35718,34.54946,-117.453064,1.0,0,0,0,0,def
35719,34.59543,-117.37007,1.0,0,0,0,0,def
35720,34.64132,-117.28697,1.0,0,0,0,1,def
35721,34.68716,-117.203766,1.0,0,0,0,0,def
35722,34.732918,-117.12042,1.0,0,0,0,0,def
35723,34.778625,-117.03697,1.0,0,0,0,1,def
35724,34.824265,-116.953415,1.0,0,0,0,0,def
35725,34.86984,-116.869736,1.0,0,0,0,0,def
35726,34.915348,-116.785934,1.0,0,0,0,0,def
35727,34.960777,-116.70203,1.0,0,0,0,0,def
35728,35.006153,-116.618,1.0,0,0,0,0,def
35729,35.051464,-116.533844,1.0,0,0,0,0,def
35730,35.09671,-116.449585,1.0,0,0,0,0,def
35731,35.141884,-116.365204,1.0,0,0,0,0,def
35732,35.187,-116.28073,1.0,0,0,0,1,def
35733,35.232033,-116.196106,1.0,0,0,0,1,def
35734,35.27702,-116.111374,1.0,0,0,0,0,def
35735,35.321926,-116.02655,1.0,0,0,0,0,def
35736,35.366768,-115.941574,1.0,0,0,0,0,def
35737,35.411533,-115.85651,1.0,0,0,0,1,def
35738,35.456238,-115.77132,1.0,0,0,0,0,def
35739,35.500877,-115.686005,1.0,0,0,1,0,def
35740,35.545444,-115.60057,1.0,0,0,1,1,def
35741,35.589947,-115.51503,1.0,0,0,0,0,def
35742,35.634377,-115.42937,1.0,0,0,0,0,def
35743,35.678745,-115.3436,1.0,0,0,0,0,def
35744,35.72304,-115.25769,1.0,0,0,0,0,def
35745,35.767258,-115.17169,1.0,0,0,0,1,def
35746,35.81141,-115.085556,1.0,0,0,0,0,def
35747,35.8555,-114.9993,1.0,0,0,0,0,def
35748,35.899513,-114.91295,1.0,0,0,0,0,def
35749,35.943455,-114.82646,1.0,0,0,0,0,def
35750,35.987335,-114.73987,1.0,0,0,0,0,def
35751,36.03113,-114.65315,1.0,0,0,0,1,def
35752,36.074867,-114.566315,1.0,0,0,0,0,def
35753,36.118526,-114.47937,0.0,0,0,0,0,def
35754,36.16212,-114.3923,0.0,0,0,0,0,def
35755,36.205635,-114.305115,1.0,0,0,1,0,def
35756,36.249077,-114.21782,1.0,0,0,1,1,def
35757,36.29246,-114.1304,1.0,0,0,1,1,def
35758,36.335762,-114.04286,1.0,0,0,1,1,def
35759,36.378986,-113.955215,1.0,0,0,1,0,def
35760,36.422153,-113.86745,1.0,0,0,1,0,def
35761,36.465252,-113.77954,1.0,0,0,1,1,def
35762,36.508255,-113.69154,1.0,0,0,1,1,def
35763,36.5512,-113.603424,1.0,0,0,1,0,def
35764,36.59406,-113.51518,1.0,0,0,0,0,def
35765,36.63686,-113.42682,1.0,0,0,0,1,def
35766,36.679573,-113.33835,1.0,0,0,0,0,def
35767,36.722218,-113.24974,1.0,0,0,0,0,def
35768,36.764797,-113.16104,1.0,0,0,0,0,def
35769,36.807293,-113.072205,1.0,0,0,0,0,def
35770,36.849716,-112.98326,1.0,0,0,0,0,def
35771,36.89206,-112.894196,1.0,0,0,0,0,def
35772,36.934338,-112.80501,1.0,0,0,0,0,def
35773,36.976536,-112.7157,1.0,0,0,0,0,def
35774,37.018658,-112.62628,1.0,0,0,0,0,def
35775,37.060715,-112.53674,1.0,0,0,0,1,def
35776,37.102684,-112.44708,1.0,0,0,0,0,def
35777,37.14459,-112.357315,1.0,0,0,0,0,def
35778,37.186405,-112.267426,1.0,0,0,0,0,def
35779,37.228153,-112.17743,1.0,0,0,0,0,def
35780,37.269817,-112.087296,1.0,0,0,0,0,def
35781,37.31141,-111.997055,1.0,0,0,0,1,def
35782,37.35292,-111.90669,1.0,0,0,0,0,def
