gid,config
1962,def
1963,def
1964,def
1965,def
1966,def
1967,def
1970,def
1988,def
1989,def
1990,def
1991,def
1992,def
1993,def
1994,def
1995,def
1996,def
1997,def
1998,def
1999,def
2000,def
2001,def
2002,def
2003,def
2004,def
2005,def
2006,def
2007,def
2008,def
2009,def
2010,def
2011,def
2012,def
2013,def
2014,def
2015,def
2016,def
2017,def
2018,def
2019,def
2020,def
2021,def
2022,def
2023,def
2024,def
2025,def
2026,def
2027,def
2028,def
2029,def
2030,def
2031,def
2032,def
2033,def
2034,def
2035,def
2036,def
2037,def
2038,def
2039,def
2040,def
2041,def
2042,def
2043,def
2044,def
2045,def
2046,def
2047,def
2048,def
2049,def
2050,def
2051,def
2052,def
2053,def
2054,def
2055,def
2056,def
2057,def
2058,def
2059,def
2060,def
2061,def
2062,def
2063,def
2064,def
2065,def
2066,def
2067,def
2068,def
2069,def
2070,def
2071,def
2072,def
2073,def
2074,def
2075,def
2076,def
2077,def
2078,def
2079,def
2080,def
2081,def
2082,def
2083,def
2084,def
2085,def
2086,def
2087,def
2088,def
2089,def
2090,def
2091,def
2092,def
2093,def
2094,def
2095,def
2096,def
2097,def
2098,def
2099,def
2100,def
2101,def
2102,def
2103,def
2104,def
2105,def
2106,def
2107,def
2108,def
2109,def
2110,def
2111,def
2112,def
2113,def
2114,def
2115,def
2116,def
2117,def
2118,def
2119,def
2120,def
2121,def
2122,def
2123,def
2124,def
2125,def
2126,def
2127,def
2128,def
2129,def
2130,def
2131,def
2132,def
2133,def
2134,def
2135,def
2136,def
2137,def
2138,def
2139,def
2140,def
2141,def
2142,def
2143,def
2144,def
2145,def
2146,def
2147,def
2148,def
2149,def
2150,def
2151,def
2152,def
2153,def
2154,def
2155,def
2156,def
2157,def
2158,def
2159,def
2228,def
2229,def
2230,def
2231,def
2232,def
2233,def
2234,def
2235,def
2236,def
2237,def
2258,def
2259,def
2260,def
2261,def
2262,def
2263,def
2264,def
2265,def
2266,def
2267,def
2268,def
2269,def
2270,def
2271,def
2272,def
2273,def
2274,def
2275,def
2276,def
2277,def
2278,def
2279,def
2280,def
2281,def
2282,def
2283,def
2284,def
2285,def
2286,def
2287,def
2288,def
2289,def
2290,def
2291,def
2292,def
2293,def
2294,def
2295,def
2296,def
2297,def
2298,def
2299,def
2300,def
2301,def
2302,def
2303,def
2304,def
2305,def
2306,def
2307,def
2308,def
2309,def
2310,def
2311,def
2312,def
2313,def
2314,def
2315,def
2316,def
2317,def
2318,def
2319,def
2320,def
2321,def
2322,def
2323,def
2324,def
2325,def
2326,def
2327,def
2328,def
2329,def
2330,def
2331,def
2332,def
2333,def
2334,def
2335,def
2336,def
2337,def
2338,def
2339,def
2340,def
2341,def
2342,def
2343,def
2344,def
2345,def
2346,def
2347,def
2348,def
2349,def
2350,def
2351,def
2352,def
2353,def
2354,def
2355,def
2356,def
2357,def
2358,def
2359,def
2360,def
2361,def
2362,def
2363,def
2364,def
2365,def
2366,def
2367,def
2368,def
2369,def
2370,def
2371,def
2372,def
2373,def
2374,def
2375,def
2376,def
2377,def
2378,def
2379,def
2380,def
2381,def
2382,def
2383,def
2384,def
2385,def
2386,def
2387,def
2388,def
2389,def
2390,def
2391,def
2392,def
2393,def
2394,def
2395,def
2396,def
2397,def
2398,def
2399,def
2400,def
2401,def
2402,def
2403,def
2404,def
2405,def
2406,def
2407,def
2408,def
2409,def
2410,def
2411,def
2412,def
2413,def
2414,def
2415,def
2416,def
2417,def
2418,def
2419,def
2420,def
2421,def
2422,def
2423,def
2424,def
2425,def
2426,def
2427,def
2428,def
2429,def
2499,def
2500,def
2501,def
2502,def
2503,def
2504,def
2505,def
2506,def
2507,def
2508,def
2528,def
2529,def
2530,def
2531,def
2532,def
2533,def
2534,def
2535,def
2536,def
2537,def
2538,def
2539,def
2540,def
2541,def
2542,def
2543,def
2544,def
2545,def
2546,def
2547,def
2548,def
2549,def
2550,def
2551,def
2552,def
2553,def
2554,def
2555,def
2556,def
2557,def
2558,def
2559,def
2560,def
2561,def
2562,def
2563,def
2564,def
2565,def
2566,def
2567,def
2568,def
2569,def
2570,def
2571,def
2572,def
2573,def
2574,def
2575,def
2576,def
2577,def
2578,def
2579,def
2580,def
2581,def
2583,def
2584,def
2585,def
2586,def
2587,def
2588,def
2589,def
2590,def
2591,def
2592,def
2593,def
2594,def
2595,def
2596,def
2597,def
2598,def
2599,def
2600,def
2601,def
2602,def
2603,def
2604,def
2605,def
2606,def
2607,def
2608,def
2609,def
2610,def
2611,def
2612,def
2613,def
2614,def
2615,def
2616,def
2617,def
2618,def
2619,def
2620,def
2621,def
2622,def
2623,def
2624,def
2625,def
2626,def
2627,def
2628,def
2629,def
2630,def
2631,def
2632,def
2633,def
2634,def
2635,def
2636,def
2637,def
2638,def
2639,def
2640,def
2641,def
2642,def
2643,def
2644,def
2645,def
2646,def
2647,def
2648,def
2649,def
2650,def
2651,def
2652,def
2653,def
2654,def
2655,def
2656,def
2657,def
2658,def
2659,def
2660,def
2661,def
2662,def
2663,def
2664,def
2665,def
2666,def
2667,def
2668,def
2669,def
2670,def
2671,def
2672,def
2673,def
2674,def
2675,def
2676,def
2677,def
2678,def
2679,def
2680,def
2681,def
2682,def
2683,def
2684,def
2685,def
2686,def
2687,def
2688,def
2689,def
2690,def
2691,def
2692,def
2693,def
2694,def
2695,def
2696,def
2697,def
2698,def
2699,def
2769,def
2770,def
2771,def
2772,def
2773,def
2774,def
2775,def
2776,def
2777,def
2778,def
2798,def
2799,def
2800,def
2801,def
2802,def
2803,def
2804,def
2805,def
2806,def
2807,def
2808,def
2809,def
2810,def
2811,def
2812,def
2813,def
2814,def
2815,def
2816,def
2817,def
2818,def
2819,def
2820,def
2821,def
2822,def
2823,def
2824,def
2825,def
2826,def
2827,def
2828,def
2829,def
2830,def
2831,def
2832,def
2833,def
2834,def
2835,def
2836,def
2837,def
2838,def
2839,def
2840,def
2841,def
2842,def
2843,def
2844,def
2845,def
2846,def
2847,def
2848,def
2849,def
2850,def
2851,def
2852,def
2853,def
2854,def
2855,def
2856,def
2857,def
2858,def
2859,def
2860,def
2861,def
2862,def
2863,def
2864,def
2865,def
2866,def
2867,def
2868,def
2869,def
2870,def
2871,def
2872,def
2873,def
2874,def
2875,def
2876,def
2877,def
2878,def
2879,def
2880,def
2881,def
2882,def
2883,def
2884,def
2885,def
2886,def
2887,def
2888,def
2889,def
2890,def
2891,def
2892,def
2893,def
2894,def
2895,def
2896,def
2897,def
2898,def
2899,def
2900,def
2901,def
2902,def
2903,def
2904,def
2905,def
2906,def
2907,def
2908,def
2909,def
2910,def
2911,def
2912,def
2913,def
2914,def
2915,def
2916,def
2917,def
2918,def
2919,def
2920,def
2921,def
2922,def
2923,def
2924,def
2925,def
2926,def
2927,def
2928,def
2929,def
2930,def
2931,def
2932,def
2933,def
2934,def
2935,def
2936,def
2937,def
2938,def
2939,def
2940,def
2941,def
2942,def
2943,def
2944,def
2945,def
2946,def
2947,def
2948,def
2949,def
2950,def
2951,def
2952,def
2953,def
2954,def
2955,def
2956,def
2957,def
2958,def
2959,def
2960,def
2961,def
2962,def
2963,def
2964,def
2965,def
2966,def
2967,def
2968,def
2969,def
3040,def
3041,def
3042,def
3043,def
3044,def
3045,def
3046,def
3047,def
3048,def
3068,def
3069,def
3070,def
3071,def
3072,def
3073,def
3074,def
3075,def
3076,def
3077,def
3078,def
3079,def
3080,def
3081,def
3082,def
3083,def
3084,def
3085,def
3086,def
3087,def
3088,def
3089,def
3090,def
3091,def
3092,def
3093,def
3094,def
3095,def
3096,def
3097,def
3098,def
3099,def
3100,def
3101,def
3102,def
3103,def
3104,def
3105,def
3106,def
3107,def
3108,def
3109,def
3110,def
3111,def
3112,def
3113,def
3114,def
3115,def
3116,def
3117,def
3118,def
3119,def
3120,def
3121,def
3122,def
3123,def
3124,def
3125,def
3126,def
3127,def
3128,def
3129,def
3130,def
3131,def
3132,def
3133,def
3134,def
3135,def
3136,def
3137,def
3138,def
3139,def
3140,def
3141,def
3142,def
3143,def
3144,def
3145,def
3146,def
3147,def
3148,def
3149,def
3150,def
3151,def
3152,def
3153,def
3154,def
3155,def
3156,def
3157,def
3158,def
3159,def
3160,def
3161,def
3162,def
3163,def
3164,def
3165,def
3166,def
3167,def
3168,def
3169,def
3170,def
3171,def
3172,def
3173,def
3174,def
3175,def
3176,def
3177,def
3178,def
3179,def
3180,def
3181,def
3182,def
3183,def
3184,def
3185,def
3186,def
3187,def
3188,def
3189,def
3190,def
3191,def
3192,def
3193,def
3194,def
3195,def
3196,def
3197,def
3198,def
3199,def
3200,def
3201,def
3202,def
3203,def
3204,def
3205,def
3206,def
3207,def
3208,def
3209,def
3210,def
3211,def
3212,def
3213,def
3214,def
3215,def
3216,def
3217,def
3218,def
3219,def
3220,def
3221,def
3222,def
3223,def
3224,def
3225,def
3226,def
3227,def
3228,def
3229,def
3230,def
3231,def
3232,def
3233,def
3234,def
3235,def
3236,def
3237,def
3238,def
3239,def
3310,def
3311,def
3312,def
3313,def
3314,def
3315,def
3316,def
3317,def
3318,def
3319,def
3339,def
3340,def
3341,def
3342,def
3343,def
3344,def
3345,def
3346,def
3347,def
3348,def
3349,def
3350,def
3351,def
3352,def
3353,def
3354,def
3355,def
3356,def
3357,def
3358,def
3359,def
3360,def
3361,def
3362,def
3363,def
3364,def
3365,def
3366,def
3367,def
3368,def
3369,def
3370,def
3371,def
3372,def
3373,def
3374,def
3375,def
3376,def
3377,def
3378,def
3379,def
3380,def
3381,def
3382,def
3383,def
3384,def
3385,def
3386,def
3387,def
3388,def
3389,def
3390,def
3391,def
3392,def
3393,def
3394,def
3395,def
3396,def
3397,def
3398,def
3399,def
3400,def
3401,def
3402,def
3403,def
3404,def
3405,def
3406,def
3407,def
3408,def
3409,def
3410,def
3411,def
3412,def
3413,def
3414,def
3415,def
3416,def
3417,def
3418,def
3419,def
3420,def
3421,def
3422,def
3423,def
3424,def
3425,def
3426,def
3427,def
3428,def
3429,def
3430,def
3431,def
3432,def
3433,def
3434,def
3435,def
3436,def
3437,def
3438,def
3439,def
3440,def
3441,def
3442,def
3443,def
3444,def
3445,def
3446,def
3447,def
3448,def
3449,def
3450,def
3451,def
3452,def
3453,def
3454,def
3455,def
3456,def
3457,def
3458,def
3459,def
3460,def
3461,def
3462,def
3463,def
3464,def
3465,def
3466,def
3467,def
3468,def
3469,def
3470,def
3471,def
3472,def
3473,def
3474,def
3475,def
3476,def
3477,def
3478,def
3479,def
3480,def
