gid,config
6122,def
6123,def
6124,def
6125,def
6126,def
6127,def
6128,def
6129,def
6130,def
6131,def
6132,def
6133,def
6134,def
6135,def
6136,def
6137,def
6318,def
6319,def
6320,def
6321,def
6322,def
6323,def
6324,def
6325,def
6326,def
6327,def
6328,def
6329,def
6330,def
6331,def
6332,def
6333,def
6334,def
6335,def
6336,def
6337,def
6338,def
6339,def
6340,def
6341,def
6342,def
6343,def
6344,def
6345,def
6346,def
6347,def
6348,def
6349,def
6350,def
6351,def
6352,def
6353,def
6354,def
6355,def
6356,def
6357,def
6358,def
6359,def
6360,def
6361,def
6362,def
6363,def
6364,def
6365,def
6366,def
6367,def
6368,def
6369,def
6370,def
6371,def
6372,def
6373,def
6374,def
6375,def
6376,def
6377,def
6378,def
6379,def
6380,def
6561,def
6562,def
6563,def
6564,def
6565,def
6566,def
6567,def
6568,def
6569,def
6570,def
6571,def
6572,def
6573,def
6574,def
6575,def
6576,def
6577,def
6578,def
6579,def
6580,def
6581,def
6582,def
6583,def
6584,def
6585,def
6586,def
6587,def
6588,def
6589,def
6590,def
6591,def
6592,def
6593,def
6594,def
6595,def
6596,def
6597,def
6598,def
6599,def
6600,def
6601,def
6602,def
6603,def
6604,def
6605,def
6606,def
6607,def
6608,def
6609,def
6610,def
6611,def
6612,def
6613,def
6614,def
6615,def
6616,def
6617,def
6618,def
6619,def
6620,def
6621,def
6622,def
6623,def
6804,def
6805,def
6806,def
6807,def
6808,def
6809,def
6810,def
6811,def
6812,def
6813,def
6814,def
6815,def
6816,def
6817,def
6818,def
6819,def
6820,def
6821,def
6822,def
6823,def
6824,def
6825,def
6826,def
6827,def
6828,def
6829,def
6830,def
6831,def
6832,def
6833,def
6834,def
6835,def
6836,def
6837,def
6838,def
6839,def
6840,def
6841,def
6842,def
6843,def
6844,def
6845,def
6846,def
6847,def
6848,def
6849,def
6850,def
6851,def
6852,def
6853,def
6854,def
6855,def
6856,def
6857,def
6858,def
6859,def
6860,def
6861,def
6862,def
6863,def
6864,def
6865,def
7047,def
7048,def
7049,def
7050,def
7051,def
7052,def
7053,def
7054,def
7055,def
7056,def
7057,def
7058,def
7059,def
7060,def
7061,def
7062,def
7063,def
7064,def
7065,def
7066,def
7067,def
7068,def
7069,def
7070,def
7071,def
7072,def
7073,def
7074,def
7075,def
7076,def
7077,def
7078,def
7079,def
7080,def
7081,def
7082,def
7083,def
7084,def
7085,def
7086,def
7087,def
7088,def
7089,def
7090,def
7091,def
7092,def
7093,def
7094,def
7095,def
7096,def
7097,def
7098,def
7099,def
7100,def
7101,def
7102,def
7103,def
7104,def
7105,def
7106,def
7107,def
7108,def
7269,def
7290,def
7291,def
7292,def
7293,def
7294,def
7295,def
7296,def
7297,def
7298,def
7299,def
7300,def
7301,def
7302,def
7303,def
7304,def
7305,def
7306,def
7307,def
7308,def
7309,def
7310,def
7311,def
7312,def
7313,def
7314,def
7315,def
7316,def
7317,def
7318,def
7319,def
7320,def
7321,def
7322,def
7323,def
7324,def
7325,def
7326,def
7327,def
7328,def
7329,def
7330,def
7331,def
7332,def
7333,def
7334,def
7335,def
7336,def
7337,def
7338,def
7339,def
7340,def
7341,def
7342,def
7343,def
7344,def
7345,def
7346,def
7347,def
7348,def
7349,def
7350,def
7351,def
7352,def
7353,def
7533,def
7534,def
7535,def
7536,def
7537,def
7538,def
7539,def
7540,def
7541,def
7542,def
7543,def
7544,def
7545,def
7546,def
7547,def
7548,def
7549,def
7550,def
7551,def
7552,def
7553,def
7554,def
7555,def
7556,def
7557,def
7558,def
7559,def
7560,def
7561,def
7562,def
7563,def
7564,def
7565,def
7566,def
7567,def
7568,def
7569,def
7570,def
7571,def
7572,def
7573,def
7574,def
7575,def
7576,def
7577,def
7578,def
7579,def
7580,def
7581,def
7582,def
7583,def
7584,def
7585,def
7586,def
7587,def
7588,def
7589,def
7590,def
7591,def
7592,def
7593,def
7594,def
7595,def
7596,def
7649,def
7776,def
7777,def
7778,def
7779,def
7780,def
7781,def
7782,def
7783,def
7784,def
7785,def
7786,def
7787,def
7788,def
7789,def
7790,def
7791,def
7792,def
7793,def
7794,def
7795,def
7796,def
7797,def
7798,def
7799,def
7800,def
7801,def
7802,def
7803,def
7804,def
7805,def
7806,def
7807,def
7808,def
7809,def
7810,def
7811,def
7812,def
7813,def
7814,def
7815,def
7816,def
7817,def
7818,def
7819,def
7820,def
7821,def
7822,def
7823,def
7824,def
7825,def
7826,def
7827,def
7828,def
7829,def
7830,def
7831,def
7832,def
7833,def
7834,def
7835,def
7836,def
7837,def
7838,def
7839,def
7840,def
8019,def
8020,def
8021,def
8022,def
8023,def
8024,def
8025,def
8026,def
8027,def
8028,def
8029,def
8030,def
8031,def
8032,def
8033,def
8034,def
8035,def
8036,def
8037,def
8038,def
8039,def
8040,def
8041,def
8042,def
8043,def
8044,def
8045,def
8046,def
8047,def
8048,def
8049,def
8050,def
8051,def
8052,def
8053,def
8054,def
8055,def
8056,def
8057,def
8058,def
8059,def
8060,def
8061,def
8062,def
8063,def
8064,def
8065,def
8066,def
8067,def
8068,def
8069,def
8070,def
8071,def
8072,def
8073,def
8074,def
8075,def
8076,def
8077,def
8078,def
8079,def
8080,def
8081,def
8082,def
8083,def
8262,def
8263,def
8264,def
8265,def
8266,def
8267,def
8268,def
8269,def
8270,def
8271,def
8272,def
8273,def
8274,def
8275,def
8276,def
8277,def
8278,def
8279,def
8280,def
8281,def
8282,def
8283,def
8284,def
8285,def
8286,def
8287,def
8288,def
8289,def
8290,def
8291,def
8292,def
8293,def
8294,def
8295,def
8296,def
8297,def
8298,def
8299,def
8300,def
8301,def
8302,def
8303,def
8304,def
8305,def
8306,def
8307,def
8308,def
8309,def
8310,def
8311,def
8312,def
8313,def
8314,def
8315,def
8316,def
8317,def
8318,def
8319,def
8320,def
8321,def
8322,def
8323,def
8324,def
8325,def
8326,def
8329,def
8505,def
8506,def
8507,def
8508,def
8509,def
8510,def
8511,def
8512,def
8513,def
8514,def
8515,def
8516,def
8517,def
8518,def
8519,def
8520,def
8521,def
8522,def
8523,def
8524,def
8525,def
8526,def
8527,def
8528,def
8529,def
8530,def
8531,def
8532,def
8533,def
8534,def
8535,def
8536,def
8537,def
8538,def
8539,def
8540,def
8541,def
8542,def
8543,def
8544,def
8545,def
8546,def
8547,def
8548,def
8549,def
8550,def
8551,def
8552,def
8553,def
8554,def
8555,def
8556,def
8557,def
8558,def
8559,def
8560,def
8561,def
8562,def
8563,def
8564,def
8565,def
8566,def
8567,def
8568,def
8569,def
8571,def
8572,def
8748,def
8749,def
8750,def
8751,def
8752,def
8753,def
8754,def
8755,def
8756,def
8757,def
8758,def
8759,def
8760,def
8761,def
8762,def
8763,def
8764,def
8765,def
8766,def
8767,def
8768,def
8769,def
8770,def
8771,def
8772,def
8773,def
8774,def
8775,def
8776,def
8777,def
8778,def
8779,def
8780,def
8781,def
8782,def
8783,def
8784,def
8785,def
8786,def
8787,def
8788,def
8789,def
8790,def
8791,def
8792,def
8793,def
8794,def
8795,def
8796,def
8797,def
8798,def
8799,def
8800,def
8801,def
8802,def
8803,def
8804,def
8805,def
8806,def
8807,def
8808,def
8809,def
8810,def
8811,def
8812,def
8813,def
8814,def
8815,def
8816,def
8895,def
8991,def
8992,def
8993,def
8994,def
8995,def
8996,def
8997,def
8998,def
8999,def
9000,def
9001,def
9002,def
9003,def
9004,def
9005,def
9006,def
9007,def
9008,def
9009,def
9010,def
9011,def
9012,def
9013,def
9014,def
9015,def
9016,def
9017,def
9018,def
9019,def
9020,def
9021,def
9022,def
9023,def
9024,def
9025,def
9026,def
9027,def
9028,def
9029,def
9030,def
9031,def
9032,def
9033,def
9034,def
9035,def
9036,def
9037,def
9038,def
9039,def
9040,def
9041,def
9042,def
9043,def
9044,def
9045,def
9046,def
9047,def
9048,def
9049,def
9050,def
9051,def
9052,def
9053,def
9054,def
9055,def
9056,def
9057,def
9058,def
9059,def
9060,def
9234,def
9235,def
9236,def
9237,def
9238,def
9239,def
9240,def
9241,def
9242,def
9243,def
9244,def
9245,def
9246,def
9247,def
9248,def
9249,def
9250,def
9251,def
9252,def
9253,def
9254,def
9255,def
9256,def
9257,def
9258,def
9259,def
9260,def
9261,def
